GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1910468646	2024-01-30 05:58:15.945424	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2023-12-21	08:59:00	obsr1819429	S157564659	Traveling	P22	EBIRD	68	2.752		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1902264441	2024-02-11 22:47:53.076996	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2023-12-20	05:45:00	obsr3547174	S156773105	Traveling	P22	EBIRD	180	10.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1903391287	2024-04-28 11:02:19.870059	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP	L2386783	H	30.1017717	77.9771805	2023-12-20	10:05:00	obsr1422910	S156871608	Traveling	P22	EBIRD	34	1.630		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1910498230	2023-12-30 23:28:22.023229	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA					Jhilmil Jheel Reserve Haridwar	L17046488	P	29.8022324	78.1941961	2023-12-19	08:05:00	obsr1819429	S157566641	Traveling	P22	EBIRD	157	33.764		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1901889149	2024-03-10 10:20:24.172236	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				5					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP	L2386783	H	30.1017717	77.9771805	2023-12-20	10:02:00	obsr554981	S156738121	Traveling	P22	EBIRD	120	2.190		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1902142065	2023-12-20 16:08:14.787206	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Dhaulkhand Range, Uttarakhand, IN (30.05, 78.043)	L28362613	P	30.0497367	78.0428242	2023-12-20	10:30:00	obsr1550621	S156762826	Traveling	P22	EBIRD	100	3.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1925896027	2024-04-17 21:28:56.803107	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2024-01-16	09:56:00	obsr1819429	S159064713	Traveling	P22	EBIRD	37	4.233		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1916003047	2024-02-05 07:03:00.825535	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA					Upper Ganga Canal Road, Roorkee, Uttarakhand, IN (29.834, 77.878)	L28617173	P	29.8339652	77.8781652	2024-01-05	15:40:00	obsr3626869	S158128424	Traveling	P22	EBIRD	71	4.140		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1953669446	2024-02-17 02:07:31.425059	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				लाहाडपुर, उत्तराखण्ड,	L21024609	P	29.7696463	78.3053051	2024-02-17	09:01:00	obsr753662	S161763529	Traveling	P22	EBIRD	83	1.320		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1954898918	2024-02-17 20:52:21.023682	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				5					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-02-17	16:24:00	obsr1319805	S161927661	Traveling	P22	EBIRD	100	15.400		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1940881022	2024-02-04 02:16:20.799997	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-02-03	17:40:00	obsr4194735	S160480069	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1958118052	2024-03-04 19:21:22.741216	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				jhilmil jheel wetland	L29396881	P	29.7985420	78.2272397	2024-02-11	14:30:00	obsr3283722	S162335735	Traveling	P22	EBIRD	225	20.000		8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1940238849	2024-02-02 12:20:22.94658	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji National Park -- Ranipur Range	L28335427	P	29.9596610	78.0932487	2024-02-02	07:27:00	obsr975749	S160419752	Traveling	P22	EBIRD	250	27.110		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1958001948	2024-03-04 19:20:54.160353	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				7					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Unnamed Road, Mohand Range, Uttarakhand, IN (30.148, 77.935)	L28160836	P	30.1478262	77.9346140	2024-02-20	11:00:00	obsr3042476	S162325156	Stationary	P21	EBIRD	200			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1940880704	2024-02-03 07:10:08.799758	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-02-03	14:51:00	obsr4630239	S160479965	Traveling	P22	EBIRD	168	15.121		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1950284764	2024-02-13 13:06:00.572435	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA					Jhilmil Jheel Reserve Haridwar	L17046488	P	29.8022324	78.1941961	2024-02-12	13:25:00	obsr1819429	S161414672	Traveling	P22	EBIRD	220	18.480		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1965783047	2024-03-04 19:24:45.006524	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				4					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2024-02-28	07:31:00	obsr975749	S163176112	Traveling	P22	EBIRD	320	19.290		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1965780719	2024-03-04 19:24:45.042751	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2024-02-27	07:00:00	obsr975749	S163176172	Traveling	P22	EBIRD	331	21.560		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1977066501	2024-03-11 07:57:02.143283	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-03-08	15:51:00	obsr1516112	S164405744	Traveling	P22	EBIRD	56	23.800		3	1	G11883507	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1977049797	2024-03-11 07:57:02.143283	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-03-08	15:51:00	obsr1130286	S164405492	Traveling	P22	EBIRD	56	23.800		3	1	G11883507	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1977958678	2024-03-12 08:37:10.510534	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-03-12	14:43:00	obsr2292537	S164502525	Traveling	P22	EBIRD	183	21.190		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1992784582	2024-03-23 12:25:29.986895	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Mohand Range, Uttarakhand, IN (30.103, 77.99)	L29738812	P	30.1025833	77.9901133	2024-03-23	02:50:00	obsr3493885	S165702012	eBird Pelagic Protocol	P60	EBIRD	180	0.016		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1979661814	2024-03-14 00:25:38.422112	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-03-14	06:27:00	obsr2292537	S164758103	Traveling	P22	EBIRD	165	9.570		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1974179049	2024-03-08 10:43:24.606998	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-03-08	14:32:00	obsr310569	S164100792	Traveling	P22	EBIRD	223	27.130		4	1		0	1	0		Afternoon Jeep Safari, focusing on finding leopard and Great Hornbill, with a dedicated local guide. Sal forest, large stony riverbed, specifumic waterhole.-Fantastic resukts-Leopard femelle Nylam aux yeux bleus! Great views sleeping drinking, preening, aso, fully in the open, around a water-hole.-Also a second leopard close, but quite hidden by bush.-Plus a m Elefant (small tusks, big penis), 4 Sambar, a Bluebull (Nilgau m), Macaques and many Axis	A huge group of 20+ HVulture in the sky, and one is very different!-P1464 m soaring (notice pale eye)	
URN:CornellLabOfOrnithology:EBIRD:OBS2203683788	2024-05-30 03:26:39.188715	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-05-25	15:15:00	obsr2503556	S178134468	Traveling	P22	EBIRD	210	30.000		7	1		0	1	0			photos available	
URN:CornellLabOfOrnithology:EBIRD:OBS2208710296	2024-06-01 02:50:26.224323	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-05-26	15:36:00	obsr3539527	S178525787	Traveling	P22	EBIRD	50	5.310		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2190059143	2024-05-25 11:17:39.006905	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-05-25	15:10:00	obsr1265888	S176998384	Traveling	P22	EBIRD	210	10.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2220499827	2024-06-17 07:30:04.360994	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel	L32875945	P	29.7959890	78.2146220	2024-06-03	06:30:00	obsr720932	S179515256	Traveling	P22	EBIRD	180	2.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2347992620	2024-07-28 09:41:34.068897	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1	F 	C1	F 		India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA					5 Saharanpur Road, Dehradun, Uttarakhand, IN (30.239, 77.958)	L35248103	P	30.2388351	77.9578478	2024-07-28	18:21:00	obsr1751741	S189246665	Incidental	P20	EBIRD				1	0		0	1	0			Seen in flight and photographed	
URN:CornellLabOfOrnithology:EBIRD:OBS2332822392	2024-07-21 15:20:39.840259	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				3					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2024-07-22	00:47:00	obsr3229924	S188128480	Incidental	P20	EBIRD				5	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1123939376	2024-04-29 05:41:23.783674	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Nainital	IN-UL-NA					Jim Corbett National Park, Ramnagar IN-UT 29.39881, 79.12670	L13386451	P	29.3988110	79.1267000	2021-01-26	13:27:00	obsr1520126	S85744713	Traveling	P22	EBIRD	255	37.446		1	0		0	1	0				
