GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1973997461	2024-03-08 07:04:22.19267	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1	ON	C4	ON		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-08	13:30:00	obsr523499	S164078789	Traveling	P22	EBIRD	140	24.800		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1979563131	2024-05-07 05:35:28.960357	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-13	13:56:00	obsr1398042	S164749597	Traveling	P22	EBIRD	150	10.000		12	1	G11899141	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1980650048	2024-04-28 13:52:28.50112	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1	NY	C4	NY		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-13	07:58:00	obsr3461220	S164872437	Traveling	P22	EBIRD	240	14.750		8	1	G11899051	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1974940480	2024-04-28 13:46:42.006562	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-09	13:56:00	obsr485649	S164176351	Traveling	P22	EBIRD	193	9.950		7	1	G11867643	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1979957131	2024-03-25 01:35:24.313899	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-12	13:48:00	obsr550977	S164792308	Traveling	P22	EBIRD	189	18.170		5	1	G11889607	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1976963076	2024-04-30 03:54:00.216798	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-08	14:14:00	obsr1898859	S164395818	Traveling	P22	EBIRD	164	8.980		5	1	G11860561	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1974943716	2024-03-09 20:04:34.891876	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-09	14:35:00	obsr892928	S164175773	Traveling	P22	EBIRD	143	18.404		5	1	G11867616	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1982578626	2024-03-16 21:17:00.866116	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2024-03-14	07:20:00	obsr493998	S165096614	Traveling	P22	EBIRD	181	19.540		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1976965428	2024-05-23 04:21:24.959211	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				3					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-11	07:30:00	obsr4105945	S164396135	Traveling	P22	EBIRD	240	20.970		9	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1976970376	2024-03-22 08:17:44.208648	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				3	NY	C4	NY		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-11	07:30:00	obsr550977	S164396407	Traveling	P22	EBIRD	230	24.000		5	1	G11882835	1	1	0				
