GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1626731638	2023-05-29 11:59:01.121445	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				5					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-08	14:49:00	obsr602491	S127937730	Traveling	P22	EBIRD	133	6.598		6	1	G9629110	1	1	0		Section 2.   Rockjumper group with Andre.  Afternoon game drive.		
URN:CornellLabOfOrnithology:EBIRD:OBS1644115910	2023-10-19 18:19:21.038163	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-28	06:47:00	obsr851631	S129829471	Traveling	P22	EBIRD	150	17.920		3	1	G9815487	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1655071199	2023-10-19 11:50:08.489409	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-28	06:47:00	obsr512706	S130861068	Traveling	P22	EBIRD	150	17.920		3	1	G9815487	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1621921462	2023-02-03 11:00:14.258829	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	15:14:00	obsr801936	S127511838	Traveling	P22	EBIRD	158	17.436		26	1	G9601871	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1627138878	2023-05-31 22:01:40.982019	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L6000962	H	25.9644883	76.3903856	2023-02-09	15:07:00	obsr111130	S127976052	Traveling	P22	EBIRD	147	5.150		6	1	G9636605	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1638234377	2023-02-21 04:47:43.441205	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-02-08	07:27:00	obsr1516112	S129257486	Traveling	P22	EBIRD	159	25.310		5	1	G9709119	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1622401658	2023-02-03 23:57:40.719378	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	15:14:00	obsr433118	S127555920	Traveling	P22	EBIRD	158	17.436		26	1	G9601871	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1636720916	2023-02-20 01:11:52.7281	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L5607850	H	25.9795580	76.3762240	2023-02-20	06:52:00	obsr1411579	S129068153	Traveling	P22	EBIRD	157	24.155		4	1	G9697806	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1633858855	2023-02-18 11:16:33.905972	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP - Zone 10	L22647348	P	25.9113032	76.3999915	2023-02-18	15:19:00	obsr1211177	S128641051	Traveling	P22	EBIRD	120	13.380		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1627167617	2023-05-31 22:01:40.982019	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L6000962	H	25.9644883	76.3903856	2023-02-09	15:07:00	obsr702935	S127977057	Traveling	P22	EBIRD	147	5.150		6	1	G9636605	1	1	0				
