Timestamp,EntryNo,TreeNo,TreeSpeciesName,AnimalInaturalistMeta-ID,AnimalName,AnimalCount,AnimalActivity,AnimalRemarks
2/10/2024 9:01:15,247,241,Unidentified / Other,-,-,0,-,-
2/10/2024 9:04:50,248,242,Jacaranda mimosifolia (Jacaranda),-,-,0,-,-
2/10/2024 9:43:38,249,243,Cassia fistula (Indian Laburnum),-,-,0,-,-
2/10/2024 9:56:17,250,244,Milletia pinnata (Pongamia),-,-,0,-,-
2/10/2024 9:59:07,251,245,Spathodea campanulata (African Tulip Tree),-,-,0,-,-
2/10/2024 10:05:05,252,246,Spathodea campanulata (African Tulip Tree),-,-,0,-,-
2/10/2024 10:05:44,253,247,Spathodea campanulata (African Tulip Tree),-,-,0,-,-
2/10/2024 10:08:37,254,248,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 10:10:14,255,249,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 10:10:59,256,250,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 10:11:45,257,251,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 10:13:24,258,252,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 9:15:20,259,253,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 10:14:32,260,254,Butea monosperma (Flame of the Forest),-,-,0,-,-
2/10/2024 10:16:35,261,255,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 10:18:15,262,256,Ficus religiosa (Peepal),-,-,0,-,-
2/10/2024 10:22:51,263,257,Albizia lebbeck (Siris),-,-,0,-,-
2/10/2024 10:23:55,264,258,Tamarindus indica (Tamarind),-,-,0,-,-
2/10/2024 10:26:27,265,259,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 9:17:46,266,260,Mangifera indica (Mango - all varieties),-,-,0,-,-
2/10/2024 9:19:40,267,261,Mangifera indica (Mango - all varieties),-,-,0,-,-
2/10/2024 9:26:36,268,262,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 9:28:38,269,263,Mangifera indica (Mango - all varieties),-,-,0,-,-
2/10/2024 9:33:47,270,264,Tamarindus indica (Tamarind),-,-,0,-,-
2/10/2024 9:37:09,271,265,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 9:41:18,272,266,Terminalia arjuna (Arjuna),-,-,0,-,-
2/10/2024 9:17:46,273,267,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:19:46,274,268,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 9:28:24,275,269,Plumeria obtusa (White Farangipani),-,-,0,-,-
2/10/2024 9:31:16,276,270,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:33:49,277,271,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
